time_signature; energy; danceability; tempo; duration; key; liveness; speechiness; instrumentalness; loudness; acousticness; valence; song_hotttnesss;song_name; artist_name; genre
4 ; 0.076008 ; 0.370002 ; 63.393 ; 282.12 ; 2 ; 0.074658 ; None ; 1e-06 ; -24.302 ; 0.981511 ; 0.238613 ; 0.237338 ; Gute Nacht ; Franz Schubert ; classical
4 ; 0.672181 ; 0.804455 ; 121.007 ; 555.99955 ; 9 ; 0.097611 ; 0.053625 ; 0.926852 ; -9.441 ; 0.006111 ; 0.293345 ; 0.013791 ; Green Lada ; Alexander Borodin ; classical
4 ; 0.180662 ; 0.173858 ; 70.35 ; 130.53333 ; 1 ; 0.205381 ; 0.039347 ; 2.4e-05 ; -17.846 ; 0.992719 ; 0.10876 ; 0.140427 ; Se Nel Partir da Voi ; Claudio Monteverdi ; classical
3 ; 0.098777 ; 0.161474 ; 67.731 ; 903.07955 ; 0 ; 0.095097 ; 0.041747 ; 0.82879 ; -22.771 ; 0.992521 ; 0.039207 ; 0.095268 ; Fern Hill ; John Corigliano ; classical
4 ; 0.130766 ; 0.653306 ; 93.122 ; 438.12 ; 9 ; 0.109923 ; 0.066737 ; 0.781537 ; -18.706 ; 0.982819 ; 0.266826 ; 0.102861 ; II. Adagio ; Franz Joseph Haydn ; classical
4 ; 0.011264 ; 0.589284 ; 111.941 ; 240.46771 ; 10 ; 0.424741 ; 0.047614 ; 0.922214 ; -29.814 ; 0.990116 ; 0.170856 ; 0.04028 ; Kreisleriana, Opus 16 (1838)  4 ; Schumann ; classical
1 ; 0.028176 ; 0.281589 ; 103.812 ; 261.0 ; 1 ; 0.293039 ; 0.039059 ; 0.911739 ; -26.36 ; 0.993881 ; 0.054546 ; 0.26273 ; Suite bergamasque: Clair de lune ; Claude Debussy ; classical
4 ; 0.166735 ; 0.316054 ; 129.056 ; 217.52 ; 2 ; 0.07885 ; 0.037142 ; 0.937934 ; -24.748 ; 0.989072 ; 0.666057 ; 0.132899 ; Keyboard Sonata in D major, K.435/L.361/P.466: Allegro ; Domenico Scarlatti ; classical
1 ; 0.14171 ; 0.413088 ; 106.197 ; 184.52853 ; 7 ; 0.09494 ; 0.050001 ; 0.057211 ; -19.229 ; 0.992954 ; 0.194262 ; 0.111858 ; Der Knabe und das Immlein ; Hugo Wolf ; classical
3 ; 0.017673 ; 0.405292 ; 69.929 ; 147.50667 ; 6 ; 0.091914 ; 0.064049 ; 0.87446 ; -27.116 ; 0.995574 ; 0.097278 ; 0.34529 ; The Girl With The Flaxen Hair ; Claude Debussy ; classical
3 ; 0.202259 ; 0.262701 ; 92.095 ; 321.73424 ; 11 ; 0.076403 ; 0.033161 ; 0.930108 ; -17.99 ; 0.927944 ; 0.108898 ; 0.194578 ; Die Walkure - Ride of the Valkyries ; Richard Wagner ; classical
4 ; 0.254642 ; 0.304658 ; 86.672 ; 915.3824 ; 10 ; 0.117226 ; 0.05636 ; 0.929245 ; -18.603 ; 0.865061 ; 0.190345 ; 0.0 ; Alceste Suite ; J.B. Lully ; classical
